ID,Contacto,Email Contacto,Agente,Canal,Dirección,Asunto,Ocurrió,Creado
138,Amanda Herrera,amanda.herrera32@ejemplo.com,admin,meeting,inbound,Interacción 1 - Amanda Herrera,2026-09-17 01:26,2026-09-18 01:26
109,Lucas Soto,lucas.soto23@ejemplo.com,admin,phone,inbound,Interacción 3 - Lucas Soto,2026-09-16 14:26,2026-09-18 01:26
174,Agustín Reyes,agustín.reyes39@ejemplo.com,admin,phone,outbound,Interacción 8 - Agustín Reyes,2026-09-16 02:26,2026-09-18 01:26
209,Fernanda González,fernanda.gonzález45@ejemplo.com,admin,email,outbound,Interacción 3 - Fernanda González,2026-09-15 08:26,2026-09-18 01:26
141,Amanda Herrera,amanda.herrera32@ejemplo.com,admin,other,inbound,Interacción 4 - Amanda Herrera,2026-09-12 16:26,2026-09-18 01:26
172,Agustín Reyes,agustín.reyes39@ejemplo.com,admin,whatsapp,inbound,Interacción 6 - Agustín Reyes,2026-09-12 01:26,2026-09-18 01:26
25,Sebastián Muñoz,sebastián.muñoz4@ejemplo.com,admin,chat,outbound,Interacción 1 - Sebastián Muñoz,2026-09-11 03:26,2026-09-18 01:26
20,Facundo Carrasco,facundo.carrasco3@ejemplo.com,admin,meeting,outbound,Interacción 4 - Facundo Carrasco,2026-09-11 02:26,2026-09-18 01:26
160,Fernanda Cortés,fernanda.cortés37@ejemplo.com,admin,email,outbound,Interacción 1 - Fernanda Cortés,2026-09-11 01:26,2026-09-18 01:26
21,Facundo Carrasco,facundo.carrasco3@ejemplo.com,admin,other,outbound,Interacción 5 - Facundo Carrasco,2026-09-10 21:26,2026-09-18 01:26
71,Sebastián Herrera,sebastián.herrera14@ejemplo.com,admin,other,inbound,Interacción 3 - Sebastián Herrera,2026-09-10 11:26,2026-09-18 01:26
23,Facundo Carrasco,facundo.carrasco3@ejemplo.com,admin,whatsapp,outbound,Interacción 7 - Facundo Carrasco,2026-09-10 10:26,2026-09-18 01:26
163,Ignacio Cáceres,ignacio.cáceres38@ejemplo.com,admin,email,outbound,Interacción 1 - Ignacio Cáceres,2026-09-10 03:26,2026-09-18 01:26
128,Martina Vargas,martina.vargas29@ejemplo.com,admin,other,outbound,Interacción 1 - Martina Vargas,2026-09-10 02:26,2026-09-18 01:26
206,Trinidad Bravo,trinidad.bravo44@ejemplo.com,admin,other,inbound,Interacción 8 - Trinidad Bravo,2026-09-09 15:26,2026-09-18 01:26
